カテゴリーID,動画ID,製品タイトル,カテゴリー,コンテンツタイトル,コンテンツ概要
EFK-SET01-02,EFK0420S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,目の不自由な人が困ること,目の不自由な人が街の中で困るのはどんなことか、インタビューの様子を紹介します。(23秒)
EFK-SET01-02,EFK0430S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,目の不自由な人の生活を手助けするもの,目の不自由な人の生活を手助けしているものを紹介します。(57秒)
EFK-SET01-02,EFK0440S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,盲導犬,目の不自由な人の歩行を手助けしている盲導犬について紹介します。(45秒)
EFK-SET01-02,EFK0450S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,点字,点の規則正しい組み合わせによって成り立っている点字の50音を紹介します。(1分15秒)
EFK-SET01-02,EFK0460S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,点字ブロック,目の不自由な人にいろいろな合図を送っている点字ブロックについて紹介します。(57秒)
EFK-SET01-02,EFK0470S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,耳の不自由な人が困ること,耳の不自由な人が街の中で困るのはどんなことか、インタビューの様子を紹介します。(21秒)
EFK-SET01-02,EFK0480S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,耳の不自由な人の生活を手助けするもの,耳の不自由な人の生活を手助けしているものを紹介します。(43秒)
EFK-SET01-02,EFK0490S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,車椅子を使っている人が困ること,車椅子利用者が街の中で困るのはどんなことか、インタビューの様子を紹介します。(35秒)
EFK-SET01-02,EFK0500S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,車椅子を使っている人の生活を手助けするもの,車椅子利用者の生活を手助けしているものを紹介します。(28秒)
EFK-SET01-02,EFK0510S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,車椅子マークを見つけよう！,街のいろいろなところにある車椅子マークについて紹介します。(35秒)
EFK-SET01-02,EFK0520S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,心のバリアをなくそう！,障害があっても無くても、共に心を開きあい、理解しあって生活していくことの大切さを説明します。(51秒)
EFK-SET01-02,EFK0530S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,バリアフリー住宅,お年寄りや身体の不自由な人を含め、だれもが暮らしやすいように考えられたバリアフリーの住宅を紹介します。(1分10秒)
EFK-SET01-02,EFK0540S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,駅で見つけたバリアフリー,エレベーター、トイレ、電光掲示板など、駅にあるさまざまなバリアフリー設備を紹介します。(1分17秒)
EFK-SET01-02,EFK0550S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,共に生きる社会を　手助けしているもの・バリアフリー,ユニバーサルデザインとは？（ノンステップバス）,誰もが乗り降りしやすいように考えて作られたノンステップバスを紹介します。(28秒)
EFK-SET01-03,EFK0340S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,助け合って生きるために　わたしたちにできること,目の不自由な人が手助けしてほしいとき,目の不自由な人が手助けしてほしいのはどんなときか、インタビューの様子を紹介します。(1分11秒)
EFK-SET01-03,EFK0350S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,助け合って生きるために　わたしたちにできること,目の不自由な人に出会ったとき,目の不自由な人に出会ったとき、どのように声をかけたらよいのか、ポイントや注意点などを見ていきます。(2分6秒)
EFK-SET01-03,EFK0360S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,助け合って生きるために　わたしたちにできること,目の不自由な人といっしょに歩くとき（横断歩道）,目の不自由な人と横断歩道を渡るとき、どのように誘導したらよいのか、ポイントや注意点などを見ていきます。(1分16秒)
EFK-SET01-03,EFK0370S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,助け合って生きるために　わたしたちにできること,耳の不自由な人との接し方,耳の不自由な人とのコミュニケーションの方法として、筆談、手話、指文字について紹介します。(1分32秒)
EFK-SET01-03,EFK0380S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,助け合って生きるために　わたしたちにできること,車椅子を使っている人が手助けしてほしいとき,車椅子利用者が手助けしてほしいのはどんなときか、インタビューの様子を紹介します。(40秒)
EFK-SET01-03,EFK0390S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,助け合って生きるために　わたしたちにできること,車椅子を使っている人に出会ったとき,車椅子利用者への声のかけ方のポイントについて紹介します。(51秒)
EFK-SET01-03,EFK0400S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,助け合って生きるために　わたしたちにできること,車椅子の基本知識,車椅子の各部の名称とはたらきを紹介します。(2分4秒)
EFK-SET01-03,EFK0410S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,助け合って生きるために　わたしたちにできること,車椅子の押し方,車椅子を押すときのポイントを説明します。(33秒)
EFK-SET01-04,EFK0010S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,ろう者／聴者,手話で「ろう者/聴者」を表現します。(24秒)
EFK-SET01-04,EFK0020S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,手話,手話で「手話」を表現します。(16秒)
EFK-SET01-04,EFK0030S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,こんにちは,手話で「こんにちは」を表現します。(15秒)
EFK-SET01-04,EFK0040S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,ありがとう,手話で「ありがとう」を表現します。(15秒)
EFK-SET01-04,EFK0050S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,さようなら,手話で「さようなら」を表現します。(15秒)
EFK-SET01-04,EFK0060S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,わたし／あなた,手話で「わたし/あなた」を表現します。(23秒)
EFK-SET01-04,EFK0070S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,好き／嫌い,手話で「好き/嫌い」を表現します。(24秒)
EFK-SET01-04,EFK0080S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,勉強する／遊ぶ,手話で「勉強する/遊ぶ」を表現します。(26秒)
EFK-SET01-04,EFK0090S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,友だち・家族,手話で「友だち・家族」を表現します。(24秒)
EFK-SET01-04,EFK0100S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,季節・春・夏・秋・冬,手話で「季節・春・夏・秋・冬」を表現します。(45秒)
EFK-SET01-04,EFK0110S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,私の名前は○○です。よろしくお願いします。,手話で「私の名前は○○です。よろしくお願いします。」を表現します。(42秒)
EFK-SET01-04,EFK0120S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,一緒に遊ぼう,手話で「一緒に遊ぼう」を表現します。(30秒)
EFK-SET01-04,EFK0130S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　あ行,指文字のあ行を紹介します。(54秒)
EFK-SET01-04,EFK0140S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　か行,指文字のか行を紹介します。(57秒)
EFK-SET01-04,EFK0150S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　さ行,指文字のさ行を紹介します。(57秒)
EFK-SET01-04,EFK0160S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　た行,指文字のた行を紹介します。(58秒)
EFK-SET01-04,EFK0170S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　な行,指文字のな行を紹介します。(1分)
EFK-SET01-04,EFK0180S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　は行,指文字のは行を紹介します。(56秒)
EFK-SET01-04,EFK0190S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　ま行,指文字のま行を紹介します。(59秒)
EFK-SET01-04,EFK0200S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　や行,指文字のや行を紹介します。(38秒)
EFK-SET01-04,EFK0210S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　ら行,指文字のら行を紹介します。(1分4秒)
EFK-SET01-04,EFK0220S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　わ行,指文字のわ行を紹介します。(42秒)
EFK-SET01-04,EFK0230S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　濁音,指文字の濁音を紹介します。(1分35秒)
EFK-SET01-04,EFK0240S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　半濁音,指文字の半濁音を紹介します。(1分32秒)
EFK-SET01-04,EFK0250S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　長音・促音・拗音,指文字の長音・促音・拗音を紹介します。(1分30秒)
EFK-SET01-04,EFK0260S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　ニッポン,指文字で「ニッポン」を表現します。(22秒)
EFK-SET01-04,EFK0270S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　ニューヨーク,指文字で「ニューヨーク」を表現します。(27秒)
EFK-SET01-04,EFK0280S,小学校　３～６年　総合　福祉教育シリーズ　全４タイトル,伝え合おう「手話・指文字」 - 手話・指文字を覚えよう！,指文字　フィジー,指文字で「フィジー」を表現します。(24秒)
EHK-SET01-01,EHK0010S,小学校　５・６年　保健　健康のお話シリーズ　全３タイトル,たばことお酒のお話　どうしてからだに悪いのだろう,たばことお酒のお話　どうしてからだに悪いのだろう(長編）,主人公の美奈子さんとキャラクターのクークの掛け合いで話を展開させながら、たばことお酒の害について実験映像やイラストを交えながら解説します。(14分3秒)
EHK-SET01-02,EHK0020S,小学校　５・６年　保健　健康のお話シリーズ　全３タイトル,病気をなおす薬とシンナー・かくせい剤のお話　薬の正しい使い方と薬物乱用,病気をなおす薬とシンナー・かくせい剤のお話　薬の正しい使い方と薬物乱用(長編）,主人公の義雄君とキャラクターのクークの掛け合いで話を展開させながら、薬の正しい服用の仕方とシンナー・かくせい剤の危険性について解説します。(14分29秒)
EHK-SET01-03,EHK0030S,小学校　５・６年　保健　健康のお話シリーズ　全３タイトル,生活習慣病のお話　雄一君の一日から,生活習慣病のお話　雄一君の一日から(長編）,主人公の雄一君の不規則な生活習慣を追い掛けながら、キャラクターのクークが正しい生活のあり方を提示します。(15分25秒)
EJH-SET01-01,EJH0010S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習１　情報を集める,インタビューの仕方,商店街の八百屋さんを訪ねて、インタビューをする様子を順に紹介します。(5分53秒)
EJH-SET01-01,EJH0020S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習１　情報を集める,電話のかけ方,リサイクルセンターに電話をして、資料の請求をしている様子を順に紹介します。(5分32秒)
EJH-SET01-01,EJH0030S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習１　情報を集める,ファックスの使い方,市役所にファックスで質問を送り、資料の請求をしている様子を紹介します。(4分18秒)
EJH-SET01-01,EJH0040S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習１　情報を集める,手紙の書き方,町づくりについての資料請求を、手紙でお願いしている様子を紹介します。(5分46秒)
EJH-SET01-02,EJH0050S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習２　情報機器を使う,デジタルカメラの使い方,デジタルカメラでまちのおもしろい看板を撮影して、テレビモニターやコンピュータの画面上に映し出す様子を紹介します。(4分51秒)
EJH-SET01-02,EJH0060S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習２　情報機器を使う,コンピュータの使い方,コンピュータでインターネットにアクセスし、自分の調べたいことを検索する方法を紹介します。(6分7秒)
EJH-SET01-02,EJH0070S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習２　情報機器を使う,カメラの使い方,レンズ付フィルムで朝顔の成長記録を撮影して、観察日記を作る様子を紹介します。(4分12秒)
EJH-SET01-02,EJH0080S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習２　情報機器を使う,ビデオカメラの使い方,商店街のそば屋さんを訪ねて、ビデオカメラでそば打ちの作業を撮影している様子を紹介します。(6分35秒)
EJH-SET01-03,EJH0090S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習３　施設を利用する,図書館を利用する,まちの図書館の利用の仕方や守らなければいけないマナーについて紹介しています。(5分34秒)
EJH-SET01-03,EJH0100S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習３　施設を利用する,市役所で聞く,市役所を訪ねて、まちの産業について調べている様子を紹介します。(4分57秒)
EJH-SET01-03,EJH0110S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習３　施設を利用する,資料館・博物館で調べる,古墳時代のことを調べるために資料館を訪ね、展示物をスケッチしたり学芸員に話を聞いたりしている様子を紹介します。(4分23秒)
EJH-SET01-03,EJH0120S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習３　施設を利用する,自然公園をたずねる,自然公園を訪ねて、草花や昆虫、鳥などを撮影したりスケッチしたりする様子を紹介します。(4分41秒)
EJH-SET01-04,EJH0130S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習４　情報を整理・発表する,コンピュータでまとめる,コンピュータに写真を取り込んだり文章を打ち込んだりしながら、リサイクルについて調べたことをまとめていく様子を紹介します。(6分10秒)
EJH-SET01-04,EJH0140S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習４　情報を整理・発表する,ビデオレターを作る,転校した友達に、クラスであった最近の出来事をビデオレターで伝える様子を紹介します。(4分32秒)
EJH-SET01-04,EJH0150S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習４　情報を整理・発表する,新聞を作る,大仏について調べたことを、一枚の新聞にまとめ上げていく様子を順に紹介します。(5分7秒)
EJH-SET01-04,EJH0160S,小学校　３～６年　総合　チャレンジ・ザ・調べ学習シリーズ　全４タイトル,チャレンジ・ザ・調べ学習４　情報を整理・発表する,教材提示装置を使って発表する,チューリップの成長記録を、教材提示装置を使って発表する様子を紹介します。(4分53秒)
EKG-SET01-01,EKG0090S,小学校　１～６年　国語　書写シリーズ　全５タイトル,一・二年のしょしゃ　えんぴつで文字を書こう,一・二年のしょしゃ　えんぴつで文字を書こう(長編）,硬筆書写の姿勢や鉛筆の持ち方、ひらがなの点画の書き方の基本、かたかなと漢字の違いについて解説します。(19分52秒)
EKG-SET01-01,EKG0100S,小学校　１～６年　国語　書写シリーズ　全５タイトル,一・二年のしょしゃ　えんぴつで文字を書こう,ようぐ,硬筆書写に適した筆記用具(鉛筆・下敷き・消しゴム)の選び方を解説します。(1分43秒)
EKG-SET01-01,EKG0110S,小学校　１～６年　国語　書写シリーズ　全５タイトル,一・二年のしょしゃ　えんぴつで文字を書こう,しせい,文字を書くときの姿勢について、良い例と悪い例を比較しながら解説します。(1分15秒)
EKG-SET01-01,EKG0120S,小学校　１～６年　国語　書写シリーズ　全５タイトル,一・二年のしょしゃ　えんぴつで文字を書こう,えんぴつのもちかた,鉛筆の持ち方、反対側の手の置き方、お手本を置く位置などについて解説します。反対側の手の置き方、お手本を置く位置については、左利きの場合も紹介します。(1分44秒)
EKG-SET01-01,EKG0130S,小学校　１～６年　国語　書写シリーズ　全５タイトル,一・二年のしょしゃ　えんぴつで文字を書こう,せんをかく,横・縦・ジグザグ・回る線の書き方について解説します。(1分46秒)
EKG-SET01-01,EKG0140S,小学校　１～６年　国語　書写シリーズ　全５タイトル,一・二年のしょしゃ　えんぴつで文字を書こう,ひらがな＜はらい＞,「の」と「し」の書き方・はらいの方向の比較、「つ」・「け」・「み」・「も」のはらいの方向の比較などについて解説します。(1分50秒)
EKG-SET01-01,EKG0150S,小学校　１～６年　国語　書写シリーズ　全５タイトル,一・二年のしょしゃ　えんぴつで文字を書こう,ひらがな＜おりかえし＞,「て」の書き方、「て」と「そ」の良い例と悪い例の比較、「ろ」と「え」の終筆の違いなどについて解説します。(1分27秒)
EKG-SET01-01,EKG0160S,小学校　１～６年　国語　書写シリーズ　全５タイトル,一・二年のしょしゃ　えんぴつで文字を書こう,ひらがな＜むすび＞,「ま」・「よ」・「る」の書き方、3つの文字の結びの形・大きさの違いなどについて解説します。(1分19秒)
EKG-SET01-01,EKG0170S,小学校　１～６年　国語　書写シリーズ　全５タイトル,一・二年のしょしゃ　えんぴつで文字を書こう,ひらがな＜てんのあるじ＞,「う」・「え」の書き方・点を打つ位置の違い、「や」・「む」・「お」の点を打つ位置などについて解説します。(1分15秒)
EKG-SET01-01,EKG0180S,小学校　１～６年　国語　書写シリーズ　全５タイトル,一・二年のしょしゃ　えんぴつで文字を書こう,ひらがな＜じのかたち＞,縦長の「う」・「り」・「よ」・「ま」、横長の「い」・「へ」・「ぬ」・「つ」、真四角の「あ」・「お」・「け」・「さ」などの文字全体の形について解説します。(2分56秒)
EKG-SET01-01,EKG0190S,小学校　１～６年　国語　書写シリーズ　全５タイトル,一・二年のしょしゃ　えんぴつで文字を書こう,かたかな,かたかなと漢字の違いとして、かたかなの「ニ」と漢字の「二」・かたかなの「エ」と漢字の「工」を比較します。また、「ケ」と「チ」のはらいの方向・点の位置・はらいの方向の比較、「ソ」と「ン」・「ツ」と「シ」の点の角度の違いなどについて解説します。(4分3秒)
EKG-SET01-02,EKG0200S,小学校　１～６年　国語　書写シリーズ　全５タイトル,三年の書写　毛筆で文字を書こう,三年の書写　毛筆で文字を書こう(長編）,毛筆の筆使いの基本と点画の書き方について、かん字・かたかな・ひらがなの例を示しながら解説します。(19分58秒)
EKG-SET01-02,EKG0210S,小学校　１～６年　国語　書写シリーズ　全５タイトル,三年の書写　毛筆で文字を書こう,かん字＜横画＞,始筆・送筆・終筆とは何か、穂先の向きの比較、横画の筆使い、穂先が通る道の比較、薄墨で横画を書く様子、「二」の書き方などについて解説します。(3分8秒)
EKG-SET01-02,EKG0220S,小学校　１～６年　国語　書写シリーズ　全５タイトル,三年の書写　毛筆で文字を書こう,かん字＜たて画＞,穂先の向きの、縦画の筆使い、穂先が通る道、終筆をはらう場合の書き方、「十」の書き方などについて解説します。(2分42秒)
EKG-SET01-02,EKG0230S,小学校　１～６年　国語　書写シリーズ　全５タイトル,三年の書写　毛筆で文字を書こう,かん字＜おれ＞,薄墨でおれを書く様子、穂先が通る道、「日」の書き方、「日」の良い例と悪い例の比較などについて解説します。(2分5秒)
EKG-SET01-02,EKG0240S,小学校　１～６年　国語　書写シリーズ　全５タイトル,三年の書写　毛筆で文字を書こう,かん字＜はらい・点＞,左はらいの筆使い、右はらいの筆使い、左はらいと右はらいの筆使いの比較、点の筆使いなどについて解説します。(2分45秒)
EKG-SET01-02,EKG0250S,小学校　１～６年　国語　書写シリーズ　全５タイトル,三年の書写　毛筆で文字を書こう,かん字＜はね＞,「月」を例に、はねの筆使いを解説します。(1分32秒)
EKG-SET01-02,EKG0260S,小学校　１～６年　国語　書写シリーズ　全５タイトル,三年の書写　毛筆で文字を書こう,かたかな＜曲がり・おれ＞,「ビル」を例に、曲がりとおれの筆使いを解説します。(1分57秒)
EKG-SET01-02,EKG0270S,小学校　１～６年　国語　書写シリーズ　全５タイトル,三年の書写　毛筆で文字を書こう,ひらがな＜筆使い＞,「に」の縦画と漢字の縦画の違い、「に」の横画と漢字の横画の違い、「にじ」の書き方などについて解説します。(2分19秒)
EKG-SET01-02,EKG0280S,小学校　１～６年　国語　書写シリーズ　全５タイトル,三年の書写　毛筆で文字を書こう,ひらがな＜むすび＞,「ま」と「よ」の書き方、「よ」の良い例と悪い例の比較、「は」・「み」・「す」の結びの形の違い、「はと」の書き方などについて解説します。(3分)
EKG-SET01-03,EKG0290S,小学校　１～６年　国語　書写シリーズ　全５タイトル,四年の書写　字形を整えて書こう,四年の書写　字形を整えて書こう(長編）,字形を整えるための要点や文字の大きさ・字配りについて、文字を具体的に例示しながら解説します。(19分2秒)
EKG-SET01-03,EKG0300S,小学校　１～６年　国語　書写シリーズ　全５タイトル,四年の書写　字形を整えて書こう,点画の接し方・交わり方,「品」・「虫」を例に点画の接し方、「平」・「柱」・「友」・「父」を例に交わり方のポイントについて解説します。(2分53秒)
EKG-SET01-03,EKG0310S,小学校　１～６年　国語　書写シリーズ　全５タイトル,四年の書写　字形を整えて書こう,画と画の間,「自」・「皿」・「多」・「米」・「正」・「東」を例に、画と画の間の取り方について解説します。(2分33秒)
